ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
255568_at	0.8091339	5.92E-01	0.5425804	-6.121528	-0.13829692	WRKY22	WRKY transcription factor 22
245226_at	0.8091339	5.92E-01	-0.54255276	-6.121543	-0.13833043	AT3G29970	B12D protein
259196_at	0.8091619	5.92E-01	-0.54244611	-6.1216	-0.13836356	RPS2	ribosomal protein S2
247711_at	0.8091619	5.92E-01	0.5423953	-6.121628	-0.13837265	AT5G59270	concanavalin A-like lectin protein kinase family protein
264681_s_at	0.8091619	5.92E-01	0.5423654	-6.121644	-0.13839898	AT1G65550///AT5G25420	xanthine/uracil permease family protein///xanthine/uracil/vitamin C permease
253770_at	0.809177	5.92E-01	-0.54229677	-6.12168	-0.13840254	CKL6	casein kinase I-like 6
255634_at	0.8092702	5.92E-01	0.54214395	-6.121762	-0.13845747	FRI	FRIGIDA-like protein
245896_at	0.8093095	5.92E-01	-0.54204924	-6.121813	-0.13848002	KIWI	RNA polymerase II transcriptional coactivator KIWI
254025_at	0.8093174	5.92E-01	0.54196421	-6.121859	-0.13849964	AT4G25790	allergen V5/Tpx-1-related family protein
260361_at	0.8093174	5.92E-01	-0.54191123	-6.121887	-0.13850551	AT1G69360	hypothetical protein
265003_at	0.8093174	5.92E-01	0.54182128	-6.121935	-0.13851354	AT1G26970	putative protein kinase
267527_at	0.8093174	5.92E-01	0.54171514	-6.121992	-0.13856694	AT2G45610	probable carboxylesterase 9
265352_at	0.8093174	5.92E-01	0.5417032	-6.121999	-0.13866174	ROC3	cyclophilin ROC3
253709_at	0.8093174	5.92E-01	0.54170223	-6.121999	-0.13869668	PFK1	6-phosphofructokinase 1
256473_at	0.8093174	5.92E-01	-0.54163643	-6.122034	-0.13872757	AT1G42630	pseudo
246583_at	0.8093174	5.93E-01	0.54157435	-6.122068	-0.13881443	AT5G14720	protein kinase family protein
259411_at	0.8093174	5.93E-01	-0.54156918	-6.12207	-0.13884512	AT1G13410	pentatricopeptide repeat-containing protein
264707_at	0.8093415	5.93E-01	-0.54149084	-6.122112	-0.13888363	AT1G09730	putative ubiquitin-like-specific protease 2B
258517_at	0.809355	5.93E-01	0.5414239	-6.122148	-0.13894853	GALK	galactokinase
261439_at	0.8095708	5.93E-01	0.54112325	-6.122309	-0.13906236	AT1G28395	hypothetical protein
262187_at	0.8095708	5.93E-01	0.54104213	-6.122353	-0.13907539	AT1G77960	hypothetical protein
247566_at	0.8095708	5.93E-01	0.54102387	-6.122362	-0.13908464	AT5G61170	40S ribosomal protein S19-3
255988_at	0.8095708	5.93E-01	0.54094594	-6.122404	-0.13912042		
264089_at	0.8095708	5.93E-01	-0.54086407	-6.122448	-0.13914861	ADF6	actin depolymerizing factor 6
259008_at	0.8095708	5.93E-01	-0.54084298	-6.122459	-0.13920386	MT2A	metallothionein 2A
257465_at	0.8095708	5.93E-01	-0.54082478	-6.122469	-0.13922901	AT1G13040	pentatricopeptide repeat-containing protein
253544_at	0.8095953	5.93E-01	-0.54074599	-6.122511	-0.13937159	AT4G31280	hypothetical protein
267292_at	0.8097794	5.93E-01	-0.54049529	-6.122645	-0.13937596	AT2G23740	histone-lysine N-methyltransferase SUVR5
256447_at	0.8099435	5.93E-01	0.54023402	-6.122785	-0.13940169	AT1G33440	probable peptide/nitrate transporter
251321_at	0.8099435	5.93E-01	0.54021377	-6.122796	-0.13941267	BRH1	brassinosteroid-responsive RING-H2
246168_at	0.8099924	5.93E-01	-0.54010864	-6.122852	-0.13949479	AT5G32460	transcriptional factor B3 family protein
260594_at	0.8103196	5.94E-01	0.53959142	-6.123128	-0.13952708	AT1G55880	pyridoxal-5'-phosphate-dependent enzyme family protein
258477_at	0.8103196	5.94E-01	-0.53949456	-6.12318	-0.139546	NBS1	nijmegen breakage syndrome 1 protein
256780_at	0.8103196	5.94E-01	-0.53945193	-6.123202	-0.13959943	RLI1	ABC transporter E family member 1
263904_at	0.8103196	5.94E-01	-0.53936816	-6.123247	-0.13964861	PDR6	ABC transporter G family member 34
267144_at	0.8103196	5.94E-01	-0.53935289	-6.123255	-0.13966626	GPAT6	bifunctional sn-glycerol-3-phosphate 2-O-acyltransferase/phosphatase
248317_at	0.8103196	5.94E-01	-0.53934626	-6.123259	-0.13979916	AT5G52680	copper transport family protein
257697_at	0.8103196	5.94E-01	0.53931489	-6.123276	-0.13982585	AT3G12700	aspartyl protease family protein
246747_at	0.8103196	5.94E-01	0.53922386	-6.123324	-0.13983863	AT5G27700	ribosomal protein S21e
245541_at	0.8103196	5.94E-01	-0.53921103	-6.123331	-0.13987248	AT4G15240	hypothetical protein
248995_at	0.8103196	5.94E-01	0.53914547	-6.123366	-0.13994919	RRS1	disease resistance protein RRS1
262635_at	0.8103196	5.94E-01	-0.53910979	-6.123385	-0.1399665	PDS1	4-hydroxyphenylpyruvate dioxygenase
257576_at	0.8103196	5.94E-01	-0.53904082	-6.123422	-0.13997063	AT3G28280	hypothetical protein
260261_at	0.8103196	5.94E-01	0.53902807	-6.123428	-0.13997374	AT1G68450	VQ motif-containing protein
251448_at	0.8103196	5.94E-01	-0.53902273	-6.123431	-0.13998431	AT3G59845	zinc-binding dehydrogenase family protein
256152_at	0.8103895	5.94E-01	0.53877573	-6.123563	-0.13999034	AT1G55150	DEAD-box ATP-dependent RNA helicase 20
259450_at	0.8103895	5.94E-01	0.53876224	-6.12357	-0.14001436	DRL1	KTI12-like protein DRL1
260693_at	0.8103895	5.94E-01	0.53873158	-6.123587	-0.14016528	NRT1.5	nitrate transporter 1.5
256568_at	0.8103895	5.94E-01	-0.53872467	-6.12359	-0.14032257	AT3G19520	hypothetical protein
266212_at	0.8103895	5.94E-01	-0.53868555	-6.123611	-0.14032875	AT2G06840	pseudo
257876_at	0.8103921	5.95E-01	0.53863041	-6.12364	-0.14036216	AT3G17130	plant invertase/pectin methylesterase inhibitor domain-containing protein
245386_at	0.8103977	5.95E-01	-0.53857198	-6.123672	-0.14040136	RALFL32	protein ralf-like 32
260111_at	0.8104259	5.95E-01	-0.53847561	-6.123723	-0.14044444	AT1G63320	pentatricopeptide repeat-containing protein
246521_at	0.8104259	5.95E-01	-0.5384369	-6.123744	-0.14046073	AT5G15810	"N2,N2-dimethylguanosine tRNA methyltransferase"
249706_at	0.8104694	5.95E-01	0.5382523	-6.123842	-0.14056343	HDA7	histone deacetylase7
250976_at	0.8104694	5.95E-01	0.53819033	-6.123875	-0.14065523	AT5G03060	hypothetical protein
252599_at	0.8104694	5.95E-01	0.5381873	-6.123876	-0.14067764	AT3G45390	concanavalin A-like lectin kinase-like protein
